xx,xxx,xx,0,xx
89,REDUCCION BUSHING GALV 1/2 x 1/4    ,PZ,19.00,11089
90,REDUCCIÓN BUSHING GALV. 1/2 x 3/8   ,PZ,13.00,11090
91,REDUCCIÓN BUSHING GALV. 3/4 x 1/2   ,PZ,19.00,11091
92,REDUCCIÓN BUSHING GALV. 1 x 1/2    ,PZ,18.00,11092
93,REDUCCIÓN BUSHING GALV. 1 x 3/4     ,PZ,45.54,11093
94,REDUCCIÓN BUSHING GALV. 1 1/4 x 1/2  ,PZ,16.00,11094
95,REDUCCIÓN BUSHING GALV. 1 1/4 x 3/4  ,PZ,39.60,11095
96,REDUCCIÓN BUSHING GALV. 1 1/4 x 1   ,PZ,31.23,11096
97,REDUCCIÓN BUSHING GALV. 1 1/2 x 1/2  ,PZ,49.00,11097
98,REDUCCIÓN BUSHING GALV. 1 1/2 x 3/4  ,PZ,24.00,11098
99,REDUCCIÓN BUSHING GALV. 1 1/2 x 1   ,PZ,26.00,11099
100,REDUCCIÓN BUSHING GALV. 1 1/2 x 1 1/4 ,PZ,33.00,11100
101,REDUCCIÓN BUSHING GALV. 2 x 3/4    ,PZ,25.00,11101
102,REDUCCIÓN BUSHING GALV. 2 x 1     ,PZ,28.00,11102
103,REDUCCIÓN BUSHING GALV. 2 x 1 1/4   ,PZ,28.00,11103
104,REDUCCIÓN BUSHING GALV. 2 x 1 1/2   ,PZ,35.00,11104
105,REDUCCIÓN CAMPANA GALV. 3/8 x 1/4   ,PZ,20.00,11105
106,REDUCCION CAMPANA GALV 1/2 x 1/4    ,PZ,29.00,11106
107,REDUCCIÓN CAMPANA GALV. 1/2 x 3/8    ,PZ,28.00,11107
108,REDUCCIÓN CAMPANA GALV. 3/4 x 1/2   ,PZ,24.00,11108
109,REDUCCIÓN CAMPANA GALV. 1 x 1/2    ,PZ,18.00,11109
110,REDUCCIÓN CAMPANA GALV. 1 x 3/4    ,PZ,31.00,11110
111,ROLDANA ARAÑA GALV. 1/2        ,PZ,3.50,11111
112,YEE GALV. 3/4  ,PZ,56.00,11112
113,YEE GALV. 1 1/4 ,PZ,62.00,11113
114,TAPON CAPA GALV. 1/4          ,PZ,13.00,11114
115,CUBRE TALADRO   ,PZ,15.00,11115
116,TEE DESAGUE P/TINACO 1 1/12      ,PZ,115.00,11116
117,NIPLE GALV 1/4 X 5,PZ,24.00,11120
118,TUBO COBRE RIG. T.M. 1/2        ,MT,132.00,12001
119,TUBO COBRE RIG. T.M. 1/2 x 6m     ,PZ,457.01,12002
120,TUBO COBRE RIG. T.M. 3/4        ,MT,223.00,12003
121,TUBO COBRE RIG. T.M. 3/4 x 6m     ,PZ,588.00,12004
122,TUBO COBRE RIG TM 1,MT,292.00,12005
123,TUBO COBRE RIG. T.M. 1 x 6m      ,PZ,1130.00,12006
124,TUBO COBRE RIG. T.M. 1 1/4       ,MT,191.99,12007
125,TUBO COBRE RIG. T.M. 1 1/ 4 x 6m    ,PZ,136.00,12008
126,CODO COBRE 3/8 x 90          ,PZ,19.00,12009
127,CODO COBRE 1/2 x 90          ,PZ,13.00,12010
128,CODO BRONCE 1/2 x 90          ,PZ,10.00,12011
129,CODO COBRE 3/4 x 90          ,PZ,26.00,12012
130,CODO COBRE 1 x 90 ,PZ,43.00,12013
131,CODO COBRE 1 1/4 x 90         ,PZ,64.99,12014
132,CODO COBRE 1/2 x 45          ,PZ,16.00,12015
133,CODO COBRE 3/4 x 45          ,PZ,26.00,12016
134,CODO COBRE 1 x 45,PZ,45.00,12017
135,CODO COBRE 1 1/4 x 45         ,PZ,73.00,12018
136,CODO COBRE RED. 1/2 x 90       ,PZ,15.00,12019
137,CODO COBRE RED. 3/4 x 90       ,PZ,16.00,12020
138,CODO COBRE R/EXT. 1/2x 90       ,PZ,29.00,12021
139,CODO COBRE R/INT. 1/2 x 90       ,PZ,30.00,12022
140,CODO COBRE R/INT. 3/4x 90       ,PZ,37.00,12023
141,CODO BRONCE RED. 1/2 x 3/8      ,PZ,15.00,12024
142,CODO BRONCE RED. 3/4 x 1/2      ,PZ,21.00,12025
143,CONECTOR COBRE R/EXT 1/2        ,PZ,19.00,12026
144,CONECTOR COBRE R EXT 3/4        ,PZ,29.00,12027
145,CONECTOR COBRE R/EXT. 1        ,PZ,49.00,12028
146,CONECTOR COBRE R/EXT. 1 1/4      ,PZ,52.00,12029
147,CONECTOR COBRE R/INT 1/2        ,PZ,22.01,12030
148,CONECTOR COBRE R/INT. 3/4       ,PZ,39.00,12031
149,CONECTOR COBRE R/INT. 1 1/4      ,PZ,52.00,12032
150,CONECTOR COBRE R/INT. 1        ,PZ,58.00,12033
151,COPLE COBRE 3/8 ,PZ,4.00,12034
152,COPLE COBRE 1/2 LIZO          ,PZ,5.00,12035
153,COPLE COBRE 3/4 LIZO          ,PZ,9.00,12036
154,COPLE COBRE 1 LIZO,PZ,15.00,12037
155,COPLE COBRE 1 1/4 C/TOPE        ,PZ,22.01,12038
156,COPLE COBRE C/TOPE 1/2         ,PZ,9.00,12039
157,COPLE COBRE C/TOPE 3/4         ,PZ,15.00,12040
158,COPLE COBRE C/TOPE 1          ,PZ,26.00,12041
159,CRUZ COBRE 3/4  ,PZ,58.00,12042
160,CRUZ COBRE 1/2  ,PZ,52.00,12043
161,REDUCCION BUSHIN COBRE 1/2-3/8    ,PZ,4.00,12044
162,REDUCCION BUSHIN COBRE 3/4 a 1/2    ,PZ,6.99,12045
163,REDUCCION BUSHIN COBRE 1-1/2     ,PZ,13.00,12046
164,REDUCCION BUSHIN COBRE 1-3/4     ,PZ,10.50,12047
165,REDUCCION BUSHIN COBRE 1 1/4-1/2   ,PZ,20.00,12048
166,REDUCCION BUSHIN COBRE 1 1/4-3/4   ,PZ,18.00,12049
167,REDUCCION BUSHIN COBRE 1 1/4-1    ,PZ,23.00,12050
168,REDUCCION CAMPANA COBRE 1/2-3/8    ,PZ,4.00,12051
169,REDUCCION CAMPANA COBRE 3/4 a 1/2    ,PZ,19.00,12052
170,REDUCCION CAMPANA COBRE 1-1/2     ,PZ,9.00,12053
171,REDUCCION CAMPANA COBRE 1-3/4     ,PZ,10.50,12054
172,REDUCCION CAMPANA COBRE 1 1/4-1/2   ,PZ,20.00,12055
173,REDUCCION CAMPANA COBRE 1 1/4-3/4   ,PZ,18.00,12056
174,REDUCCION CAMPANA COBRE 1 1/4-1    ,PZ,21.00,12057
175,TAPÓN COBRE CAPA 3/8          ,PZ,4.00,12058
176,TAPON COBRE CAPA 13 mm         ,PZ,8.00,12059
177,TAPON COBRE CAPA 3 4          ,PZ,10.00,12060
178,TAPÓN COBRE CAPA 1,PZ,11.99,12061
179,TAPÓN COBRE CAPA 1 1/4         ,PZ,17.01,12062
180,TEE COBRE 3/8  ,PZ,38.00,12063
181,TEE COBRE 1/2   ,PZ,17.01,12064
182,TEE COBRE 3/4  ,PZ,51.01,12065
183,TEE COBRE 1    ,PZ,116.00,12066
184,TEE COBRE 1 1/4 ,PZ,129.00,12067
185,TEE COBRE R/INT. CTRO. DE 1/2     ,PZ,58.00,12068
186,TEE COBRE R/INT. LADO DE 1/2      ,PZ,38.00,12069
187,TUERCA UNION COBRE 1/2         ,PZ,74.99,12070
188,TUERCA UNION COBRE 3/4         ,PZ,108.00,12071
189,TUERCA UNION COBRE 1          ,PZ,120.00,12072
190,TUERCA UNION COBRE 1 1/4        ,PZ,238.99,12073
191,YEE COBRE 1/2 SOLDABLE         ,PZ,51.01,12074
192,YEE COBRE 3/4 SOLDABLE         ,PZ,66.00,12075
193,TEE COBRE REDUC. 19X13X19        ,PZ,40.99,12076
194,TEE COBRE REDUC. 19X19X13        ,PZ,30.00,12077
195,TEE COBRE REDUC. 19X13X13        ,PZ,0.00,12078
196,CONEC. COBRE RED. R/EXT. 3/4 - 1/2  ,PZ,32.00,12079
197,CONEC. COBRE RED. R/INT. 3/4 - 1/2  ,PZ,35.00,12080
198,CONECTOR TERMINAL BRONCE 3/8 X 1/2   ,PZ,26.00,12081
199,CONECTOR TERMINAL P/GAS BRONCE 3/8 X 3/8,PZ,17.01,12082
200,CODO PIPA COBRE 1/2          ,PZ,33.00,12085
201,TUBO PVC 1 1/2  ,MT,32.00,13001
202,TUBO PVC 1 1/2 x 6M          ,PZ,85.00,13002
203,TUBO PVC 2    ,MT,40.99,13003
204,TUBO PVC 2 x 6M ,PZ,156.00,13004
205,TUBO PVC 3 in   ,MT,68.00,13005
206,TUBO PVC 3 x 6M ,PZ,180.00,13006
207,TUBO PVC 4    ,MT,98.00,13007
208,TUBO PVC 4 x 6M ,PZ,278.01,13008
209,CESPOL BOTE PVC 1/S 4         ,PZ,28.00,13009
210,CESPOL BOTE PVC 1/S REFZ. 4      ,PZ,30.00,13010
211,CESPOL BOTE PVC 2 S 4          ,PZ,35.00,13011
212,CESPOL BOTE PVC 2/S REFZ. 4      ,PZ,64.99,13012
213,CODO PVC 1 1/2 x 90,PZ,6.00,13013
214,CODO PVC 2 x 90  ,PZ,9.00,13014
215,CODO PVC 3 x 90  ,PZ,17.01,13015
216,CODO PVC 4 x 90 ,PZ,35.99,13016
